rozklad,n,k,metoda,czas,liczba porównań punktów,liczba porównań współrzędnych,liczba punktów niezdominowanych
jednostajny,100,3,filtracja,0.0011946000158786774,1025,1785,17
jednostajny,100,3,punkt_idealny,0.0006479999283328652,335,666,17
jednostajny,100,3,klasyczna,0.0034005000488832593,2799,4172,14
jednostajny,100,3,filtracja,0.0005492999916896224,486,874,14
jednostajny,100,3,punkt_idealny,0.00048429996240884066,233,504,14
jednostajny,100,3,klasyczna,0.004590200027450919,4032,6076,25
jednostajny,100,3,filtracja,0.0011057999217882752,985,1699,25
jednostajny,100,3,punkt_idealny,0.0007541000377386808,478,958,25
jednostajny,100,3,klasyczna,0.0024337999057024717,2110,2958,14
jednostajny,100,3,filtracja,0.0005664000054821372,508,874,14
jednostajny,100,3,punkt_idealny,0.0005251000402495265,238,503,14
jednostajny,100,3,klasyczna,0.0034469999372959137,3001,4491,10
jednostajny,100,3,filtracja,0.0005997000262141228,520,929,10
jednostajny,100,3,punkt_idealny,0.00043400004506111145,197,429,10
jednostajny,100,3,klasyczna,0.004288999945856631,3535,5025,25
jednostajny,100,3,filtracja,0.0013300999999046326,1167,1969,25
jednostajny,100,3,punkt_idealny,0.0008894000202417374,485,900,25
jednostajny,100,3,klasyczna,0.003185699926689267,2772,4409,10
jednostajny,100,3,filtracja,0.0004883999936282635,432,811,10
jednostajny,100,3,punkt_idealny,0.0003961999900639057,167,404,10
jednostajny,100,3,klasyczna,0.0034949000691995025,3048,4642,17
jednostajny,100,3,filtracja,0.0008873000042513013,785,1438,17
jednostajny,100,3,punkt_idealny,0.0006267999997362494,353,752,17
jednostajny,100,3,klasyczna,0.0027859999099746346,2400,3597,7
jednostajny,100,3,filtracja,0.000314700067974627,277,524,7
jednostajny,100,3,punkt_idealny,0.0003754999488592148,134,348,7
jednostajny,100,3,klasyczna,0.002493900014087558,2118,3108,15
jednostajny,100,3,filtracja,0.000610699993558228,539,931,15
jednostajny,100,3,punkt_idealny,0.0005425000563263893,298,556,15
jednostajny,100,3,klasyczna,0.003436999977566302,2763,4025,14
jednostajny,100,3,filtracja,0.0005558000411838293,454,865,14
jednostajny,100,3,punkt_idealny,0.00048040004912763834,223,478,14
jednostajny,100,3,klasyczna,0.003781599923968315,3291,4998,15
jednostajny,100,3,filtracja,0.0008040000684559345,593,1058,15
jednostajny,100,3,punkt_idealny,0.0005200000014156103,261,563,15
jednostajny,100,3,klasyczna,0.003171699936501682,2819,4163,11
jednostajny,100,3,filtracja,0.0004455000162124634,387,728,11
jednostajny,100,3,punkt_idealny,0.0005466999718919396,186,429,11
jednostajny,100,3,klasyczna,0.005036400048993528,4116,6168,25
jednostajny,100,3,filtracja,0.0016437999438494444,1171,2045,25
jednostajny,100,3,punkt_idealny,0.0008637999417260289,489,986,25
jednostajny,100,3,klasyczna,0.0031431999523192644,2752,4073,12
jednostajny,100,3,filtracja,0.0005793999880552292,490,924,12
jednostajny,100,3,punkt_idealny,0.0004467000253498554,193,434,12
jednostajny,100,3,klasyczna,0.003579300013370812,3104,4676,13
jednostajny,100,3,filtracja,0.0007974000182002783,693,1240,13
jednostajny,100,3,punkt_idealny,0.0005506000015884638,263,556,13
jednostajny,100,3,klasyczna,0.0034920000471174717,3060,4293,22
jednostajny,100,3,filtracja,0.0008759999182075262,754,1260,22
jednostajny,100,3,punkt_idealny,0.0006804000586271286,387,696,22
jednostajny,100,3,klasyczna,0.002353499992750585,2018,2929,12
jednostajny,100,3,filtracja,0.00045039993710815907,378,693,12
jednostajny,100,3,punkt_idealny,0.0004365999484434724,192,458,12
jednostajny,100,3,klasyczna,0.004218399990350008,3637,5273,10
jednostajny,100,3,filtracja,0.0003603999502956867,314,598,10
jednostajny,100,3,punkt_idealny,0.00040570006240159273,167,396,10
jednostajny,100,3,klasyczna,0.0029926999704912305,2600,3730,16
jednostajny,100,3,filtracja,0.0006984999636188149,592,1041,16
jednostajny,100,3,punkt_idealny,0.000542700057849288,257,501,16
jednostajny,100,3,klasyczna,0.002946999971754849,2590,3585,13
jednostajny,100,3,filtracja,0.0006365999579429626,549,971,13
jednostajny,100,3,punkt_idealny,0.0005013999762013555,228,516,13
jednostajny,100,3,klasyczna,0.0032420000061392784,2798,4295,15
jednostajny,100,3,filtracja,0.000671899993903935,573,1014,15
jednostajny,100,3,punkt_idealny,0.0005408000433817506,288,544,15
jednostajny,100,3,klasyczna,0.003728699986822903,3256,4651,13
jednostajny,100,3,filtracja,0.0006195999449118972,525,970,13
jednostajny,100,3,punkt_idealny,0.00045779999345541,211,442,13
jednostajny,100,3,klasyczna,0.0035183000145480037,3064,4434,15
jednostajny,100,3,filtracja,0.0007145999697968364,617,1072,15
jednostajny,100,3,punkt_idealny,0.0005518000107258558,275,542,15
jednostajny,100,3,klasyczna,0.0027478999691084027,2408,3828,11
jednostajny,100,3,filtracja,0.0005491999909281731,479,903,11
jednostajny,100,3,punkt_idealny,0.00042339996434748173,177,383,11
jednostajny,100,3,klasyczna,0.003045799909159541,2679,4028,13
jednostajny,100,3,filtracja,0.0006426000036299229,561,975,13
jednostajny,100,3,punkt_idealny,0.0005109000485390425,253,519,13
jednostajny,100,3,klasyczna,0.00385970005299896,3392,5089,22
jednostajny,100,3,filtracja,0.001080299960449338,916,1596,22
jednostajny,100,3,punkt_idealny,0.0006529999664053321,381,765,22
jednostajny,100,3,klasyczna,0.00345359998755157,3074,4569,6
jednostajny,100,3,filtracja,0.00033579999580979347,290,567,6
jednostajny,100,3,punkt_idealny,0.0003530998947098851,117,310,6
jednostajny,100,3,klasyczna,0.002700399956665933,2413,3502,14
jednostajny,100,3,filtracja,0.0006343000568449497,536,949,14
jednostajny,100,3,punkt_idealny,0.0005617999704554677,296,640,14
jednostajny,100,3,klasyczna,0.003853800008073449,3421,4869,16
jednostajny,100,3,filtracja,0.000658900011330843,560,1005,16
jednostajny,100,3,punkt_idealny,0.0005458999658003449,277,570,16
jednostajny,100,3,klasyczna,0.0031013000989332795,2696,4161,8
jednostajny,100,3,filtracja,0.0002954000374302268,258,526,8
jednostajny,100,3,punkt_idealny,0.0003656999906525016,133,356,8
jednostajny,100,3,klasyczna,0.0035149999894201756,3068,4723,13
jednostajny,100,3,filtracja,0.0006089999806135893,523,957,13
jednostajny,100,3,punkt_idealny,0.0005172999808564782,267,570,13
jednostajny,100,3,klasyczna,0.004660199978388846,4069,6335,24
jednostajny,100,3,filtracja,0.0012339000822976232,1050,1811,24
jednostajny,100,3,punkt_idealny,0.0007924999808892608,493,944,24
jednostajny,100,3,klasyczna,0.004016099963337183,3482,5334,11
jednostajny,100,3,filtracja,0.0007258000550791621,611,1081,11
jednostajny,100,3,punkt_idealny,0.0005213000113144517,227,497,11
jednostajny,100,3,klasyczna,0.0029340999899432063,2559,3678,17
jednostajny,100,3,filtracja,0.0008321000495925546,705,1203,17
jednostajny,100,3,punkt_idealny,0.0005645999917760491,291,572,17
jednostajny,100,3,klasyczna,0.0029943999834358692,2630,3881,15
jednostajny,100,3,filtracja,0.0006553999846801162,571,1038,15
jednostajny,100,3,punkt_idealny,0.0005523000145331025,285,556,15
jednostajny,100,3,klasyczna,0.0032364000799134374,2798,3875,11
jednostajny,100,3,filtracja,0.0004162999102845788,357,634,11
jednostajny,100,3,punkt_idealny,0.00043780007399618626,180,389,11
jednostajny,100,3,klasyczna,0.0032183999428525567,2801,4035,12
jednostajny,100,3,filtracja,0.00039709999691694975,340,602,12
jednostajny,100,3,punkt_idealny,0.0004338000435382128,186,395,12
jednostajny,100,3,klasyczna,0.003374599968083203,2941,4462,18
jednostajny,100,3,filtracja,0.0008316000457853079,716,1228,18
jednostajny,100,3,punkt_idealny,0.0006447000196203589,357,720,18
jednostajny,100,3,klasyczna,0.0035023000091314316,3078,4546,20
jednostajny,100,3,filtracja,0.0008859999943524599,764,1310,20
jednostajny,100,3,punkt_idealny,0.000622499966993928,349,737,20
jednostajny,100,3,klasyczna,0.0035333000123500824,3077,4280,14
jednostajny,100,3,filtracja,0.00068170006852597,572,1050,14
jednostajny,100,3,punkt_idealny,0.0005033999914303422,240,509,14
